SITE,WEEK,FLOW_PLANT_CAT,SPECIES,EGG_TOT,LARV_TOT,HERB_TOT,PRED_TOT,ANT_TOT,MYZO_TOT,NERII_TOT,APH_ASC_TOT,APHID_TOT
5,6,1,2,0.8,0,2.6,1.2,0.4,184.4,0,0,184.4
5,6,1,3,0.2,0,0,0.2,0,0,0,0,0
6,6,3,1,0.6,0.2,1.6,0.4,0,0,0,0,0
6,6,3,2,0.6,0.4,0.6,1.2,0.6,1298,0,0,1298
6,6,3,3,0,0,0,0,0,0,0,0,0
7,6,1,1,1.4,0,1.8,0.6,0,0,0,0,0
7,6,1,2,1.4,0.2,0,0,0,17.6,0,2.6,20.2
7,6,1,3,1,1,0,0,0,0,0,0,0
8,6,1,1,2.8,0.2,0.8,1,0,0,0,0,0
8,6,1,2,1.2,0.2,0.2,3.4,0,19,0,0,19
8,6,1,3,0,0,0,0,0,0,0,0,0
9,6,2,1,0.4,0,3.8,0.2,0,0,0,0,0
9,6,2,2,1,0.2,0.6,1.4,0.2,25.8,0,0,25.8
9,6,2,3,0,0,0,0,0,0,0,0,0
10,6,1,1,1.4,0.6,1,0.8,0,196.2,0,0,196.2
10,6,1,2,0,0,0.2,0,0,1.2,0,0,1.2
1,7,2,1,0.6,0,8.8,0.6,0,0,0,0,0
1,7,2,2,1.8,0,0.2,0.2,0,10.4,0,0,10.4
1,7,2,3,0.4,0,0,0,0,0,0,0,0
2,7,3,1,0.4,0,7.6,0,0,0,0,0,0
2,7,3,2,0.4,0,0.4,2.4,2.4,18.8,0,0,18.8
2,7,3,3,0,0,0,0,0,0,0,0,0
3,7,1,1,3.2,0,0.2,1.6,1.6,0,0.2,0,0.2
3,7,1,2,0.8,0,0.8,0.6,0.4,1.4,1.6,0,3
3,7,1,3,0,0,0.2,0,0,0,0.2,0,0.2
4,7,1,1,6,0.5,0.75,2.25,0.5,0,10.5,0,10.5
4,7,1,2,2.2,0.8,0.6,0.2,0,11.2,2.6,0,13.8
4,7,1,3,0.8,0.8,1.6,0.4,0,0,0,0,0
5,7,1,1,0,0,0,0,0,0,0,0,0
5,7,1,2,1,0.6,1,0.8,0,36.8,0,0,36.8
5,7,1,3,0,0.2,0.2,0.6,0,0,0,0,0
6,7,3,1,4.6,1.4,5.4,1.4,0.2,10.6,153.2,0,163.8
6,7,3,2,2,0.4,1.2,0.8,0.4,1789.8,2.8,0,1792.6
6,7,3,3,0,0,0.2,0.8,0,0,0,0,0
7,7,1,1,4.8,0.2,3,1.6,0,0,0,0,0
7,7,1,2,1.6,0.2,1.4,0.2,0,10.6,0,3.4,14
7,7,1,3,1,0,0,1,0,0,0,0,0
8,7,1,1,2,0.4,31.4,1.6,0,0.4,0,0,0.4
8,7,1,2,1.2,0,0.4,2.2,0.2,32.2,1.4,0,33.6
8,7,1,3,0,0,0.6,0,0,0,0,0,0
9,7,2,1,1.4,0,0.6,0.2,0,0,1.8,0,1.8
9,7,2,2,1.2,0.2,0.2,0.6,0,8.8,0,5.6,14.4
9,7,2,3,0,0,0,0,0,0,0,0,0
10,7,1,1,1.2,1,0,0,0,74.8,0,0,74.8
10,7,1,2,0,0.2,1.8,0,0,0,0,0,0
1,8,2,1,1.8,0.4,0.4,0,0,0,0.6,0,0.6
1,8,2,2,0,0,0,0,0,3,0,0,3
1,8,2,3,0.6,0.2,13.8,0,0,0,0,0,0
2,8,3,1,0,0.4,8.8,0,0,0,0,0,0
2,8,3,2,0.6,0.2,0.2,0,0.4,2.4,0,0,2.4
2,8,3,3,0,0,0,0,0,0,0,0,0
3,8,1,1,1.6,0,0.2,0.4,0,0,4.6,0,4.6
3,8,1,2,0,0.4,0.4,0.2,0.4,0.6,2.8,0,3.4
3,8,1,3,0.2,0,0,0,0,0,4.2,0,4.2
4,8,1,1,1.2,0.4,0,0,0,3,10.6,0.2,13.8
4,8,1,2,2.6,0.4,0.4,0,0,0,7.6,0,7.6
4,8,1,3,0.8,0.6,0,0,0.2,0,0,0,0
5,8,1,1,0,0,1,0,0,0,0,0,0
5,8,1,2,0.8,0.6,1.8,31.4,29,588.8,9.4,28.4,626.6
5,8,1,3,0.2,0,0,0.2,0,0,0.2,0,0.2
6,8,3,1,0.4,0.6,0.8,0.8,0,0,11.6,0,11.6
6,8,3,2,3.4,1.6,1.2,0.4,0.6,1916.2,36.8,0,1953
6,8,3,3,0,0,0.2,0.4,0,0,0.6,0,0.6
7,8,1,1,2.2,0,0.4,0.2,0,0,0,0,0
7,8,1,2,1.6,1.8,0.2,0.2,0,42,0.4,0,42.4
7,8,1,3,0,0,0,0,0,0,0,0,0
8,8,1,1,2.4,0.2,0.4,0.4,0,0,0,0,0
8,8,1,2,1.8,0.6,0.2,3.2,0.4,39.4,98,0,137.4
8,8,1,3,0,0,0.4,0.2,0,0,0,0,0
9,8,2,1,0,0.2,28.6,0.2,0,0,2.4,0,2.4
9,8,2,2,0.2,0.2,0.4,0.4,0,16,0,0,16
9,8,2,3,0,0,0.2,0.2,0,0,0,0,0
10,8,1,1,0.4,0.6,0.6,0.2,0,38.6,0,0,38.6
10,8,1,2,0.2,0.2,0.2,0,0,0,0,0,0
1,9,2,1,1,0.2,0,0,0,0,0,0,0
1,9,2,2,0,0.4,4.4,0,0,1.8,0,0,1.8
1,9,2,3,0.2,0.4,0.2,0,0,0.4,0,0,0.4
2,9,3,1,0.6,0.2,0.4,0,0,0,0,0,0
2,9,3,2,0.2,0.2,0.2,0.2,0,1.4,0,0,1.4
2,9,3,3,0,0,0,0.2,0,0,0,0,0
3,9,1,1,0.4,0,0.6,2.2,1.8,0,452,0,452
3,9,1,2,0.2,0.2,4.6,0.8,0,5,0.8,0,5.8
3,9,1,3,0,0,0.2,0,0,0,21.8,0,21.8
4,9,1,1,4.333333333,1.333333333,0,0.333333333,1,0,2.666666667,0,2.666666667
4,9,1,2,2.8,0.8,0,0.2,0,4.6,3.2,0,7.8
4,9,1,3,0.4,0.4,0.2,0,1.2,0,1.6,0,1.6
5,9,1,1,0,0,0,0,0,0,0,0,0
5,9,1,2,1,0.8,0.2,1.6,0.4,1247.6,166,15.4,1429
5,9,1,3,0.6,0.4,0,0,0,0,145,0,145
6,9,3,1,1.4,0.4,7,0.4,0,0,1659.4,0,1659.4
6,9,3,2,0.6,0.6,0.8,2.6,2.4,1696.4,22.8,0,1719.2
6,9,3,3,0,0,0,0,0,0,0,0,0
7,9,1,1,2.6,0,0.4,0.8,0,0,0,0,0
7,9,1,2,1,0.8,0.4,0,0,27,0,0,27
7,9,1,3,0,0,0,0,0,0,0,0,0
8,9,1,1,1.6,0.8,1.2,1.2,0,0,0.2,0,0.2
8,9,1,2,0.2,0.2,0.2,0.2,0,31.2,4.4,22,57.6
8,9,1,3,0.4,0,0,0,0,1.2,0,0,1.2
9,9,2,1,0.2,0.4,1,1,0,2.4,576,0,578.4
9,9,2,2,0.6,0,0.2,4,3.2,31,0,0,31
9,9,2,3,0,0,0,0,0,0.4,0,0,0.4
10,9,1,1,0.4,0.8,0.2,0,0,184.8,3,0,187.8
10,9,1,2,0,0,0.2,0.2,0,0,0,0,0
1,10,2,1,0.8,1.6,0.2,0.2,0,0,4,0,4
1,10,2,2,0.2,0.6,4.2,0,0,5,0,0,5
1,10,2,3,0,0,0.8,0.2,0,0,0,0,0
2,10,3,1,0,0,0.4,0.2,0,0,0,0,0
2,10,3,2,0.2,0.4,0.2,1.2,0,4,0,0,4
2,10,3,3,0,0.4,0,0.4,0,0,0,0,0
3,10,1,1,0,0.4,0,2.4,1.2,0,520,0,520
3,10,1,2,1.2,0,3.4,0.2,0.2,7.6,16.2,0,23.8
3,10,1,3,0,0.4,0.4,0.8,0,0,162,0,162
4,10,1,1,1.333333333,2.666666667,0.666666667,0,0,0,3.333333333,0,3.333333333
4,10,1,2,0.2,1,0,0.4,0,13.8,1.2,0.2,15.2
4,10,1,3,0,0.4,0,0.4,0.2,11.6,0,0,11.6
5,10,1,1,2,0,0,0,0,0,0,0,0
5,10,1,2,0.4,0,0.2,1.2,0,23.6,0,16,39.6
5,10,1,3,0.4,0.2,0.4,0.2,0,0,39.6,0,39.6
6,10,3,1,1.2,0.6,7,1.2,0,0.6,2546,0,2546.6
6,10,3,2,0,0.4,0.8,1.6,0.4,391.8,2120,0,2511.8
6,10,3,3,0,0,0,0.2,0,0,4.8,0,4.8
7,10,1,1,3.2,0.4,0.2,0.4,0,0,0.2,0,0.2
7,10,1,2,0.6,0,0.2,0,0,98.2,24.6,0,122.8
7,10,1,3,0,0,0,0,0,0,0,0,0
9,10,2,1,0.2,0,0.2,0.2,0,0,76,0,76
9,10,2,2,0,0,0,1,0.2,15.4,4.4,0,19.8
9,10,2,3,0,0,0,0.2,0,0,0,0,0
10,10,1,1,0.6,0.2,8.8,0.2,0,7.4,0,0,7.4
10,10,1,2,0,0,0,0,0,0,0,0,0
